plant_id,company,country,status,claim_id,kind,product,value_t_per_year,value_native,as_of,basis,scope,chem,scale,bundle,duplicate_of,supersedes,superseded_by,target_date,counted_operating,counted_pipeline,counted_upper_only,public_confidence,caveats,note,source_tier,source_publisher,source_type,source_date,source_url,source_count,source_ids,source_urls,source_roles
p001,Hunan Yuneng New Energy (湖南裕能),China,Operating,p001.c1,shipments,CAM,700000,,2024,reported,company,LFP,commercial,,,,,,,,,Low,"row-level seed source — figure-level re-sourcing pending; market observation, not nameplate",~700 kt shipped 2024; 28.8% global share; rank #1,trade,Adamas Intelligence,analyst note,,https://www.adamasintel.com/hunan-yuneng-to-biuld-50-ktpa-lfp-cam-plant-spain/,1,s048,https://www.adamasintel.com/hunan-yuneng-to-biuld-50-ktpa-lfp-cam-plant-spain/,
p001,Hunan Yuneng New Energy (湖南裕能),China,Operating,p001.c2,shipments,CAM,1000000,,2025,reported,company,LFP,commercial,,,,p001.c6,,,,,Low,"superseded by p001.c6 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending; stated as a floor; market observation, not nameplate",>1 Mt shipped 2025 — stated as a floor ('>'); not a nameplate figure,trade,Adamas Intelligence,analyst note,,https://www.adamasintel.com/hunan-yuneng-to-biuld-50-ktpa-lfp-cam-plant-spain/,1,s048,https://www.adamasintel.com/hunan-yuneng-to-biuld-50-ktpa-lfp-cam-plant-spain/,
p001,Hunan Yuneng New Energy (湖南裕能),China,Operating,p001.c3,capacity,CAM,50000,,,announced,site,LFP,commercial,,,,,,,Y,,Low,row-level seed source — figure-level re-sourcing pending; no vintage stated in seed,"Spain plant, 50 ktpa, from the cited source's own title; Malaysia plant also announced (no figure)",trade,Adamas Intelligence,analyst note,,https://www.adamasintel.com/hunan-yuneng-to-biuld-50-ktpa-lfp-cam-plant-spain/,1,s048,https://www.adamasintel.com/hunan-yuneng-to-biuld-50-ktpa-lfp-cam-plant-spain/,
p001,Hunan Yuneng New Energy (湖南裕能),China,Operating,p001.c4,capacity,CAM,994500,,2025-12-31,built,company,L(M)FP-unsplit,commercial,,,,,,Y,,,High,,"FY2025 AR capacity table, 磷酸盐正极材料 (phosphate cathode materials — AR does not split LFP/LMFP; LMFP is at trial-production stage): 产能 994,500.00 t, utilization 113.76%. Spot-verified on the CNINFO PDF. Fills the seed's biggest hole (g01).",primary,SZSE / CNINFO,annual report,2026-04-23,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,1,s_yuneng_ar25,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,
p001,Hunan Yuneng New Energy (湖南裕能),China,Operating,p001.c5,capacity,CAM,70000,,2026-04-23,construction,company,L(M)FP-unsplit,commercial,,,,,,,Y,,High,,"FY2025 AR: 在建产能 70,000.00 t (under construction), same table.",primary,SZSE / CNINFO,annual report,2026-04-23,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,1,s_yuneng_ar25,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,
p001,Hunan Yuneng New Energy (湖南裕能),China,Operating,p001.c6,shipments,CAM,1137085,,2025,reported,company,LFP,commercial,,,p001.c2,,,,,,High,"stated as a floor; market observation, not nameplate","FY2025 AR: 销售量 1,137,084.83 t; 生产量 1,131,305.32 t. Supersedes the seed's '>1 Mt' ranking floor with the filed figure. Production exceeds year-end nameplate (capacity added in-year; AR's own utilization 113.76%).",primary,SZSE / CNINFO,annual report,2026-04-23,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,1,s_yuneng_ar25,https://static.cninfo.com.cn/finalpage/2026-04-23/1225155057.PDF,
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c1,shipments,CAM,375000,,2025,reported,company,LFP,commercial,,,,p002.c3,,,,,Medium,"superseded by p002.c3 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending; market observation, not nameplate","~375 kt 2025 rank #2 (rank #3 in 2024); ranking figure, seed source is the company site",company,en.hbwanrun.com,company website,,https://en.hbwanrun.com/,1,s049,https://en.hbwanrun.com/,
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c2,capacity,CAM,468000,,2025-05,reported,company,LFP,commercial,,,,p002.c6,,,,,Low,"superseded by p002.c6 — shown for history, counts toward no total","Domestic LFP capacity 46.8万吨/年 (Hubei 311k + Shandong 120k + Anhui 37k). Trade tier: the FY2025 AR (confirmed absence, three targeted reads) publishes no company capacity table; filing-tier component: '12万吨/年磷酸铁锂及24万吨/年磷酸铁项目产能已建成投产' (announcement 2025-032). Second Binzhou 120k line delayed to Dec 2026 — unclear if inside the 468k.",trade,21st Century Business Herald,trade press,2025-05-20,https://www.21jingji.com/article/20250520/herald/8da85a8b1acf02df0a91de910b592144.html,1,s_wanrun_21j,https://www.21jingji.com/article/20250520/herald/8da85a8b1acf02df0a91de910b592144.html,
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c3,shipments,CAM,375100,,2025,reported,company,LFP,commercial,,,p002.c1,,,,,,High,"market observation, not nameplate","FY2025 AR: 磷酸铁锂累计出货量为37.51万吨, +64.33% YoY. Supersedes the seed ranking figure with the filed one (same value, source upgraded to filing).",primary,SSE (Xueqiu mirror),annual report,2026-04-25,https://stockmc.xueqiu.com/202604/688275_20260425_M1WW.pdf,1,s_wanrun_ar25,https://stockmc.xueqiu.com/202604/688275_20260425_M1WW.pdf,
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c4,capacity,FePO4,240000,,2025-11,built,company,FePO4,commercial,,,,,,,,,High,,"Filing 2025-032: '24万吨/年磷酸铁项目产能已建成投产' — 240,000 t/y iron phosphate built and producing (Binzhou).",primary,SSE (QQ mirror),exchange announcement,2025-11-13,https://file.finance.qq.com/finance/hs/pdf/2025/11/13/1224802255.PDF,1,s_wanrun_delay,https://file.finance.qq.com/finance/hs/pdf/2025/11/13/1224802255.PDF,
